date,A,B
26-Nov-19,171.6,170.6
27-Nov-19,171.2,170
28-Nov-19,170.8,170
30-Nov-19,172.8,172.2
1-Dec-19,172.2,171.6
2-Dec-19,172.8,172
4-Dec-19,171.8,170.6
5-Dec-19,170.2,169
7-Dec-19,169.2,168.4
8-Dec-19,171.2,170.4
10-Dec-19,171.4,170.8
12-Dec-19,170.6,169.2
14-Dec-19,172.6,171.8
15-Dec-19,173.8,172.4
16-Dec-19,174.2,173.4
18-Dec-19,169.2,168.2
19-Dec-19,170.8,169.6
20-Dec-19,171.8,171.2
21-Dec-19,172.2,171.6
22-Dec-19,171.6,170.8
23-Dec-19,172,171
24-Dec-19,171.8,170.6
26-Dec-19,173.4,172.2
27-Dec-19,172.8,172.2
28-Dec-19,172.6,171.6
29-Dec-19,171.6,170.8
30-Dec-19,172.4,171.2
31-Dec-19,172.4,171.8
1-Jan-20,172.8,172.2
3-Jan-20,171.6,170.4
4-Jan-20,171.8,170.4
6-Jan-20,173.4,172.8
7-Jan-20,172.8,171.8
9-Jan-20,170.8,168.4
10-Jan-20,168.8,168.2
11-Jan-20,168.4,167.2
12-Jan-20,169.6,167.6
13-Jan-20,171.4,170.2
16-Jan-20,171.2,169.4
17-Jan-20,170.6,169.0
18-Jan-20,170.0,168.0
